0	0.4	0	0	2	-0.5
0.05	0.384375	0.1	-0.3125	2	-0.468984
0.1	0.353412	0.19601	-0.619258	1.92019	-0.439149
0.15	0.309063	0.284595	-0.886985	1.77171	-0.41734
0.2	0.254295	0.363586	-1.09536	1.57983	-0.405992
0.25	0.192248	0.432171	-1.24093	1.3717	-0.403427
0.3	0.12566	0.490546	-1.33176	1.1675	-0.406452
0.35	0.0566528	0.539477	-1.38015	0.978616	-0.41226
0.4	-0.013242	0.579958	-1.3979	0.809618	-0.419016
0.45	-0.0829673	0.613012	-1.3945	0.66108	-0.425716
0.5	-0.151816	0.639592	-1.37698	0.531599	-0.431894
0.55	-0.219329	0.660543	-1.35026	0.41902	-0.437385
0.6	-0.285216	0.676596	-1.31773	0.321063	-0.442175
0.65	-0.349301	0.688376	-1.28171	0.235604	-0.446316
0.7	-0.411488	0.696415	-1.24374	0.160776	-0.449884
0.75	-0.471731	0.701164	-1.20486	0.0949864	-0.452958
0.8	-0.53002	0.703009	-1.16578	0.0368973	-0.455613
0.85	-0.586368	0.702279	-1.12695	-0.0146087	-0.457912
0.9	-0.640801	0.699256	-1.08867	-0.0604623	-0.459912
0.95	-0.693357	0.694184	-1.05111	-0.10144	-0.461658
1	-0.744077	0.687274	-1.01441	-0.138189	-0.46319
1.05	-0.793008	0.678712	-0.978609	-0.171255	-0.464539
1.1	-0.840195	0.668657	-0.943743	-0.201096	-0.465733
1.15	-0.885686	0.657252	-0.909813	-0.228099	-0.466795
1.2	-0.929526	0.644622	-0.876805	-0.252594	-0.467742
1.25	-0.97176	0.630879	-0.844694	-0.274862	-0.468591
1.3	-1.01243	0.616122	-0.813452	-0.295145	-0.469354
1.35	-1.05159	0.600439	-0.783044	-0.31365	-0.470043
1.4	-1.08926	0.583911	-0.753433	-0.330558	-0.470667
1.45	-1.12549	0.56661	-0.724582	-0.346023	-0.471234
1.5	-1.16031	0.548601	-0.696454	-0.360184	-0.471751
1.55	-1.19376	0.529943	-0.669014	-0.373158	-0.472224
1.6	-1.22587	0.510691	-0.642225	-0.38505	-0.472658
1.65	-1.25667	0.490893	-0.616053	-0.395953	-0.473058
1.7	-1.2862	0.470596	-0.590467	-0.405948	-0.473426
1.75	-1.31447	0.44984	-0.565434	-0.415107	-0.473767
1.8	-1.34151	0.428666	-0.540925	-0.423494	-0.474083
1.85	-1.36736	0.407107	-0.516912	-0.431168	-0.474377
1.9	-1.39203	0.385198	-0.493368	-0.438177	-0.474651
1.95	-1.41554	0.36297	-0.470269	-0.444569	-0.474907
2	-1.43792	0.340451	-0.447589	-0.450385	-0.475147
2.05	-1.45919	0.317668	-0.425306	-0.455661	-0.475373
2.1	-1.47936	0.294646	-0.403399	-0.46043	-0.475585
2.15	-1.49845	0.27141	-0.381847	-0.464722	-0.475785
2.2	-1.51648	0.247982	-0.360632	-0.468565	-0.475974
2.25	-1.53347	0.224383	-0.339734	-0.471982	-0.476153
2.3	-1.54942	0.200633	-0.319136	-0.474996	-0.476323
2.35	-1.56437	0.176751	-0.298822	-0.477627	-0.476484
2.4	-1.5783	0.152757	-0.278776	-0.479892	-0.476639
2.45	-1.59125	0.128666	-0.258983	-0.481807	-0.476786
2.5	-1.60322	0.104497	-0.239428	-0.483389	-0.476927
2.55	-1.61423	0.0802646	-0.220099	-0.484648	-0.477062
2.6	-1.62428	0.0559846	-0.200981	-0.485599	-0.477193
2.65	-1.63338	0.0316721	-0.182063	-0.486251	-0.477318
2.7	-1.64155	0.00734136	-0.163333	-0.486614	-0.477439
2.75	-1.64879	-0.0169935	-0.144778	-0.486697	-0.477557
2.8	-1.65511	-0.0413189	-0.126388	-0.486508	-0.477671
2.85	-1.66051	-0.0656215	-0.108153	-0.486053	-0.477781
2.9	-1.66502	-0.0898884	-0.090062	-0.485338	-0.477889
2.95	-1.66862	-0.114107	-0.0721049	-0.484368	-0.477994
3	-1.67134	-0.138264	-0.0542723	-0.483149	-0.478098
3.05	-1.67316	-0.162348	-0.0365549	-0.481683	-0.478199
3.1	-1.67411	-0.186347	-0.0189437	-0.479974	-0.478298
3.15	-1.67418	-0.210248	-0.00142999	-0.478025	-0.478396
3.2	-1.67338	-0.23404	0.0159949	-0.475836	-0.478493
3.25	-1.67172	-0.257711	0.0333393	-0.473411	-0.478589
3.3	-1.66919	-0.281248	0.0506114	-0.470748	-0.478685
3.35	-1.66579	-0.30464	0.0678192	-0.467849	-0.47878
3.4	-1.66155	-0.327876	0.0849704	-0.464712	-0.478874
3.45	-1.65644	-0.350943	0.102073	-0.461337	-0.478969
3.5	-1.65049	-0.373829	0.119134	-0.457722	-0.479063
3.55	-1.64368	-0.396522	0.136162	-0.453866	-0.479158
3.6	-1.63602	-0.419011	0.153163	-0.449764	-0.479254
3.65	-1.62751	-0.441281	0.170146	-0.445415	-0.479351
3.7	-1.61816	-0.463322	0.187117	-0.440813	-0.479449
3.75	-1.60795	-0.48512	0.204084	-0.435955	-0.479548
3.8	-1.5969	-0.506661	0.221054	-0.430835	-0.479649
3.85	-1.585	-0.527934	0.238033	-0.425448	-0.479751
3.9	-1.57225	-0.548923	0.25503	-0.419787	-0.479856
3.95	-1.55864	-0.569615	0.272052	-0.413844	-0.479964
4	-1.54419	-0.589996	0.289105	-0.407612	-0.480074
